"externalForce:0","externalForce:1","externalForce:2","ghostRank","mass","poroSolve_totalDisplacement_dofIndex","totalDisplacement:0","totalDisplacement:1","totalDisplacement:2","deltaPressure","elementCenter:0","elementCenter:1","elementCenter:2","elementVolume","poroSolve_singlePhaseVariables_dofIndex","pressure","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_porosity","rockPorosity_referencePorosity","rockSolid_density","rockSolid_stress:0","rockSolid_stress:1","rockSolid_stress:2","rockSolid_stress:3","rockSolid_stress:4","rockSolid_stress:5","temperature","water_density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,-2,4.3945e+07,52953,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,0,25,25,0
0,0,0,-2,4.5703e+07,52900,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,1,25,25,-1
0,0,0,-2,4.7461e+07,52847,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,2,25,25,-2
0,0,0,-2,4.9219e+07,52794,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,3,25,25,-3
0,0,0,-2,5.0977e+07,52741,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,4,25,25,-4
0,0,0,-2,5.2734e+07,52688,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,5,25,25,-5
0,0,0,-2,5.4492e+07,52635,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,6,25,25,-6
0,0,0,-2,5.625e+07,52583,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,7,25,25,-7
0,0,0,-2,5.8008e+07,52530,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,8,25,25,-8
0,0,0,-2,5.9766e+07,52477,0,0,0,0,25,25,-12.5,62500,69843,2.2282e+05,1e-12,1e-12,1e-12,0.375,0.375,2500,-4922.4,-4922.4,-14767,-3.067e-08,-1.1727e-08,-1.6238e-09,0,1000.1,1,9,25,25,-9
